Date,Open,High,Low,Close,Volume
2013-06-14,137.4672,138.0035,136.5285,137.0439,113829610
2013-06-17,137.6851,138.4645,137.0649,137.5594,118036861
2013-06-18,137.8862,139.1098,137.8778,139.0343,90186370
2013-06-19,138.7829,139.026,136.9224,137.8694,175443211
2013-06-20,135.6486,135.8497,133.235,133.6875,275873559
2013-06-21,134.496,134.5971,132.6678,134.3907,232137245
2013-06-24,132.6172,133.4766,131.2018,132.7781,204204627
2013-06-25,133.5187,134.8835,132.6257,133.8473,141515345
2013-06-26,134.6898,135.2205,134.1674,135.1279,121814723
2013-06-27,135.726,136.3326,135.5997,135.9282,120126785
2013-06-28,135.3301,135.9788,134.6813,135.8271,132414924
2013-07-01,135.8608,136.8887,135.7092,135.9619,115322830
2013-07-02,135.7429,136.737,135.2205,135.507,120232348
2013-07-05,136.8803,137.3942,135.8945,136.8381,98481583
2013-07-08,138.0513,138.4978,137.8154,137.9502,91492565
2013-07-09,138.9949,139.2898,138.3967,139.1803,107365271
2013-07-10,138.9865,139.6436,138.7,139.1297,107725811
2013-07-11,140.7894,141.2107,140.3008,140.9748,111303401
2013-07-12,141.0253,141.4129,140.8063,141.0675,82109889
2013-07-15,141.514,141.8678,141.2697,141.7162,62253178
2013-07-16,141.7583,141.8426,140.7557,141.0675,76798259
2013-07-17,141.6741,141.9437,141.3118,141.4761,79433369
2013-07-18,141.8004,142.6092,141.7078,142.2638,84733556
2013-07-19,141.9774,142.5418,141.8004,142.3649,89175129
2013-07-22,142.7272,143.0052,142.3902,142.8114,66599199
2013-07-23,143.0558,143.081,142.4239,142.7769,69390581
2013-07-24,143.0473,143.1063,141.6909,141.9015,101992611
2013-07-25,141.7246,142.4492,141.4887,142.2891,85870905
2013-07-26,141.7246,142.5166,141.1349,142.2562,87554459
2013-07-29,142.1122,142.4323,141.6319,142.1374,69351751
2013-07-30,142.466,142.6177,141.6993,142.2048,76426294
2013-07-31,142.3312,143.0979,141.9521,142.7188,121298426
2013-08-01,143.2158,143.9067,143.14,143.6244,94431625
2013-08-02,143.4601,144.033,143.2664,143.8224,70110302
2013-08-05,143.7045,144.033,143.5191,143.8645,45705770
2013-08-06,143.536,143.8479,142.6766,143.0567,71550429
2013-08-07,142.5418,142.744,142.0026,142.5924,73911608
2013-08-08,143.2074,143.3759,142.3228,143.2158,83337976
2013-08-09,142.8704,143.3085,142.1459,142.6851,82154175
2013-08-12,141.9268,142.6429,141.8594,142.4577,59287324
2013-08-13,142.7272,143.14,141.8847,143.0305,75023482
2013-08-14,142.8283,143.0558,142.129,142.3556,71157079
2013-08-15,141.0422,141.059,139.9301,140.1913,128308516
2013-08-16,139.9048,140.385,139.433,139.9217,106975829
2013-08-19,139.551,140.0312,138.8096,139.1382,83669112
2013-08-20,139.0455,140.0228,138.8938,139.8585,78123468
2013-08-21,139.1129,139.8795,138.3293,139.3066,135737458
2013-08-22,138.9275,140.107,138.9191,139.9385,82955594
2013-08-23,140.3176,140.5535,139.6605,140.3261,71472723
2013-08-26,140.5198,140.9495,139.7616,139.9806,72030421
2013-08-27,138.4726,139.8563,137.5037,137.7313,133423786
2013-08-28,137.5458,138.5821,137.3689,138.4389,83600714
2013-08-29,137.7902,139.0455,137.6638,138.3546,89404116
2013-08-30,138.5989,138.6158,137.47,137.9839,107412740
2013-09-03,139.2055,139.5004,137.9165,138.4894,114271316
2013-09-04,138.5315,139.8795,138.283,139.6858,83718979
2013-09-05,139.7279,140.1913,139.6268,139.9048,56208090
2013-09-06,140.2839,140.6799,138.5737,140.1744,135092609
2013-09-09,140.2334,141.3118,140.2334,141.1585,72379658
2013-09-10,142.0785,142.2975,141.7583,142.2124,90129923
2013-09-11,142.0785,142.7188,141.8341,142.4239,78064654
2013-09-12,142.6682,142.8536,142.1459,142.3396,75254988
2013-09-13,142.4913,142.7693,142.1627,142.5924,62665443
2013-09-16,144.2015,144.2689,143.2579,143.4273,95705940
2013-09-17,143.6118,144.1594,143.6118,144.0836,68953201
2013-09-18,144.0752,146.1898,143.7129,145.7265,166334457
2013-09-19,146.1898,146.2572,145.4021,145.6422,123143092
2013-09-20,145.895,145.895,144.4134,144.5235,111513877
2013-09-23,144.3372,144.4727,143.4059,143.7784,89153546
2013-09-24,143.8377,144.3711,143.2536,143.8123,87601800
2013-09-25,143.6176,143.9054,142.9826,143.2324,99566347
2013-09-26,143.3467,144.0663,143.1181,143.2451,67355832
2013-09-27,142.9403,143.1943,142.6271,142.9318,81576613
2013-09-30,141.7889,142.6863,141.5096,142.026,124133978
2013-10-01,142.3477,143.4991,142.2292,142.9996,107766015
2013-10-02,142.5255,143.3655,142.0852,143.0334,86626369
2013-10-03,142.898,143.025,141.2471,142.2,155514424
2013-10-04,142.0175,143.1266,141.8313,142.9318,85272266
2013-10-07,141.7381,142.6101,141.5942,142.1868,82064912
2013-10-08,141.7212,141.9075,139.9941,140.7137,155683206
2013-10-09,140.3666,140.7053,139.2915,140.5275,148454197
2013-10-10,141.6281,143.2959,141.5773,143.0842,159280561
2013-10-11,142.9996,144.1933,142.881,143.9901,89340676
2013-10-14,143.2536,144.8367,143.1435,144.6589,95238763
2013-10-15,144.3541,144.896,143.4737,143.9901,139197877
2013-10-16,144.5319,145.751,144.46,145.3277,131695316
2013-10-17,145.0822,146.7331,145.0568,146.4198,110236973
2013-10-18,147.1903,147.7405,146.8939,147.5712,123260637
2013-10-21,147.6897,147.9437,147.3172,147.4781,84681335
2013-10-22,148.0792,148.9427,147.8675,148.7057,113032274
2013-10-23,147.9945,148.0623,147.2749,147.7003,94216275
2013-10-24,148.0877,148.4686,147.7405,148.3247,62809308
2013-10-25,148.5871,148.9681,148.2993,148.6252,75653267
2013-10-28,148.9089,149.3999,148.748,149.129,69244307
2013-10-29,149.5353,150.0433,149.3237,149.7724,70533667
2013-10-30,150.1703,150.2804,148.7141,149.3491,121135230
2013-10-31,149.129,149.7555,148.6041,149.1798,114166209
2013-11-01,149.0189,149.5184,148.3416,149.0528,112224462
2013-11-04,149.5861,149.7639,149.1289,149.5226,67946731
2013-11-05,149.1205,149.6369,148.6379,149.4253,74807000
2013-11-06,149.874,150.2719,149.4591,149.8909,72834433
2013-11-07,150.2719,150.3904,147.9522,148.0538,132640150
2013-11-08,148.0453,150.0602,148.0284,149.5099,113555133
2013-11-11,149.9502,150.2973,149.7724,150.128,53475440
2013-11-12,149.7978,150.1534,149.3152,149.6962,74350313
2013-11-13,149.0782,151.0423,149.0782,150.5259,82407118
2013-11-14,151.1524,151.8974,150.9068,151.7958,93276175
2013-11-15,152.0159,152.4477,151.8212,152.3799,79835506
2013-11-18,152.6847,152.8117,151.5587,151.6104,83630306
2013-11-19,151.8212,152.2783,151.3047,151.7619,85923939
2013-11-20,151.872,152.3291,150.6783,150.9661,110551935
2013-11-21,151.5164,152.4307,151.4233,152.363,71385988
