,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,continuation_fill_time,greatest_continuation_fill_time
3453,2018-10-30,246.3765,250.5347,245.8626,249.5068,245.1151,137558534,0.5146153786527148,True,1,247.6,True,False,2.2110428937262427,00:10:00,06:25:00
3454,2018-10-31,252.8987,255.3095,252.4035,254.4031,249.5068,106663596,1.359441906994115,True,1,254.15,True,False,2.3256680779842536,00:50:00,05:30:00
3459,2018-11-07,259.3555,262.6633,258.907,262.2428,256.4869,84927430,1.1184196931695205,True,1,260.64,True,False,2.4080762019424777,01:35:00,06:25:00
3465,2018-11-15,251.1514,255.5992,249.4977,254.0294,253.7677,118133619,-1.030982272369571,True,2,249.88,True,True,-1.6826412502457886,01:05:00,01:05:00
3468,2018-11-20,247.9557,249.4881,245.8906,247.3483,251.684,119803633,-1.4813416824271668,True,2,246.7,True,False,-2.3018547066956945,00:35:00,05:35:00
3472,2018-11-28,251.9176,256.5429,250.9178,255.3936,250.1329,111050850,0.7135007030262659,True,1,253.17,True,False,2.5626377017977116,02:30:00,06:25:00
3477,2018-12-06,248.479,252.2633,245.2272,250.3758,253.1791,180726834,-1.8564328572145141,True,2,247.21,True,False,-3.1408200755907556,01:25:00,01:55:00
3478,2018-12-07,251.7868,253.4313,245.4047,246.4233,250.3758,139180479,0.5635528673298303,True,1,253.04,True,True,1.2203655465104835,00:10:00,00:10:00
3481,2018-12-12,249.9273,251.3569,247.965,249.105,248.3481,84402932,0.6358816516011254,True,1,251.17,True,True,1.2115252744031495,03:40:00,05:40:00
3483,2018-12-14,245.7131,246.7129,242.8071,243.5079,247.6286,102865678,-0.7735374669969497,True,2,244.47,True,False,-1.947069118833614,02:20:00,06:15:00
3489,2018-12-26,221.7809,231.2078,219.7038,228.1532,226.8279,190797642,-2.2250349273612273,True,2,220.65,True,True,-3.140751203886294,00:35:00,01:20:00
