Date,Close,High,Low,Open,Volume,gapped_percent,is_gap_fill,is_gapped,is_half_percent_continued,is_half_percent_continutation_target_price,max_gap_and_go_percentage,prev_close,up_or_down,continuation_fill_time,greatest_continuation_fill_time,gap_fill_time,greatest_gap_fill_time
2018-09-07,267.7306,268.5492,266.6981,266.9492,58515791,-0.523450562857477,True,True,False,265.61,,268.3539,2,,,02:00:00,02:10:00
2018-10-11,256.4495,260.6076,252.6277,258.907,243262325,-1.2966802804181157,False,True,True,257.6,-3.6905427697102877,262.3083,2,01:30:00,05:15:00,,
2018-10-12,257.5849,258.9163,254.5059,258.6173,159506544,0.8453126249027585,True,True,False,259.9,,256.4495,1,,,02:15:00,03:20:00
2018-10-23,256.1225,256.8419,250.9925,253.1791,124443348,-1.7085947245148247,False,True,True,251.89,-2.557495707160611,257.5801,2,00:35:00,00:45:00,,
2018-10-26,247.5259,253.2258,245.087,248.479,176019181,-2.0480198427668768,False,True,True,247.21,-3.3851675159840786,253.6743,2,00:30:00,01:25:00,,
2018-10-29,245.1151,252.525,242.8071,251.1701,143254852,1.472249974649111,True,True,True,252.41,2.0196270370090557,247.5259,1,00:30:00,00:30:00,05:00:00,06:15:00
2018-10-30,249.5068,250.5347,245.8626,246.3765,137558534,0.5146153786527148,False,True,True,247.6,2.2110428937262427,245.1151,1,00:10:00,06:25:00,,
2018-10-31,254.4031,255.3095,252.4035,252.8987,106663596,1.359441906994115,False,True,True,254.15,2.3256680779842536,249.5068,1,00:50:00,05:30:00,,
2018-11-02,253.5995,257.1783,251.9083,256.7298,103913842,0.5710377279773297,True,True,False,258.01,,255.2721,1,,,00:55:00,03:35:00
2018-11-07,262.2428,262.6633,258.907,259.3555,84927430,1.1184196931695205,False,True,True,260.64,2.4080762019424777,256.4869,1,01:35:00,06:25:00,,
2018-11-14,253.7677,256.599,250.843,256.1785,107909634,0.8311990512727516,True,True,False,257.45,,254.0667,1,,,01:30:00,04:35:00
2018-11-15,254.0294,255.5992,249.4977,251.1514,118133619,-1.030982272369571,True,True,True,249.88,-1.6826412502457886,253.7677,2,01:05:00,01:05:00,03:50:00,05:00:00
2018-11-20,247.3483,249.4881,245.8906,247.9557,119803633,-1.4813416824271668,False,True,True,246.7,-2.3018547066956945,251.684,2,00:35:00,05:35:00,,
2018-11-28,255.3936,256.5429,250.9178,251.9176,111050850,0.7135007030262659,False,True,True,253.17,2.5626377017977116,250.1329,1,02:30:00,06:25:00,,
2018-12-06,250.3758,252.2633,245.2272,248.479,180726834,-1.8564328572145141,False,True,True,247.21,-3.1408200755907556,253.1791,2,01:25:00,01:55:00,,
2018-12-07,246.4233,253.4313,245.4047,251.7868,139180479,0.5635528673298303,True,True,True,253.04,1.2203655465104835,250.3758,1,00:10:00,00:10:00,00:50:00,05:35:00
2018-12-11,248.3481,250.3011,245.2646,250.1048,110981000,1.3709745734374321,True,True,False,251.34,,246.7223,1,,,02:40:00,04:45:00
2018-12-12,249.105,251.3569,247.965,249.9273,84402932,0.6358816516011254,True,True,True,251.17,1.2115252744031495,248.3481,1,03:40:00,05:40:00,06:25:00,06:25:00
2018-12-14,243.5079,246.7129,242.8071,245.7131,102865678,-0.7735374669969497,False,True,True,244.47,-1.947069118833614,247.6286,2,02:20:00,06:15:00,,
2018-12-18,237.9481,241.0317,236.668,240.3309,118496388,1.1006480462908352,True,True,False,241.52,,237.7145,1,,,05:10:00,05:55:00
2018-12-26,228.1532,231.2078,219.7038,221.7809,190797642,-2.2250349273612273,True,True,True,220.65,-3.140751203886294,226.8279,2,00:35:00,01:20:00,04:30:00,06:25:00
2018-12-28,232.8996,236.2831,231.6307,234.5725,136233713,1.9359674948667458,False,True,True,235.72,2.67932686562299,230.1175,1,05:15:00,05:20:00,,
2018-12-31,233.9992,235.1176,232.5894,234.5537,106064353,0.7102201978878451,True,True,False,235.72,,232.8996,1,,,01:50:00,02:00:00
